LotArea,MSSubClass
8450,60
9600,20
11250,60
9550,70
14260,60
14115,50
10084,20
10382,60
6120,50
7420,190
11200,20
11924,60
12968,20
10652,20
10920,20
6120,45
11241,20
10791,90
13695,20
7560,20
14215,60
7449,45
9742,20
4224,120
8246,20
14230,20
7200,20
11478,20
16321,20
6324,30
8500,70
8544,20
11049,20
10552,20
7313,120
13418,60
10859,20
8532,20
7922,20
6040,90
8658,20
16905,20
9180,85
9200,20
7945,20
7658,120
12822,50
11096,20
4456,190
7742,20
13869,60
6240,50
8472,90
50271,20
7134,80
10175,20
2645,160
11645,60
13682,60
7200,20
13072,20
7200,75
6442,120
10300,70
9375,60
9591,60
19900,20
10665,20
4608,30
15593,50
13651,20
7599,20
10141,60
10200,20
5790,50
1596,180
8475,20
8635,50
10778,90
10440,50
13000,60
4500,120
10206,20
8892,20
8530,80
16059,60
11911,60
3951,160
8470,50
8070,20
7200,20
8500,20
13360,30
7200,190
9337,60
9765,60
10264,20
10921,20
10625,30
9320,20
10603,20
9206,60
7018,90
10402,20
7758,50
9375,60
10800,30
6000,20
8500,50
11751,20
9525,50
7750,80
9965,60
21000,20
7259,70
3230,160
11616,20
8536,20
12376,60
8461,60
21453,80
6060,50
9464,20
7892,120
17043,20
6780,190
4928,120
4388,45
7590,60
8973,20
14200,60
12224,60
7388,20
6853,20
10335,20
10400,20
10355,20
11070,90
9066,60
15426,60
10500,20
11645,20
8520,50
10335,20
9100,90
2522,160
6120,30
9505,60
7500,20
6240,50
10356,20
13891,20
14803,60
13500,20
11340,30
9600,50
7200,20
12003,60
12552,60
19378,60
11120,20
13688,60
12182,20
5500,45
5400,40
10106,190
10708,20
10562,60
8244,60
16669,20
12358,50
31770,20
5306,160
10197,20
12416,20
12615,20
10029,60
13650,50
17423,20
8520,30
2117,160
7588,70
9060,20
11426,50
7438,50
22950,75
9947,80
10410,50
7018,90
4923,120
10570,70
7472,60
9017,20
2522,160
7180,20
2280,160
9416,20
25419,75
5520,75
9591,20
8546,20
10125,20
7000,50
4438,120
3500,50
11851,20
13673,20
12493,20
14364,60
8250,20
5604,30
10420,20
8640,60
13568,20
10900,60
10011,20
8450,20
9906,70
15660,50
3010,120
8990,20
8068,60
11475,60
10500,20
13472,20
1680,160
9950,60
1869,160
8521,20
3182,120
8760,20
15138,60
1680,160
10650,20
7851,60
1680,160
8773,20
9453,60
12030,20
8741,50
9000,20
3880,30
5000,50
10762,160
8880,60
10400,20
9142,190
11310,20
11317,60
159000,50
5350,30
4750,120
8366,60
9350,80
8400,20
8738,60
8791,60
8814,20
12435,60
12702,20
19296,80
9588,60
8471,80
5500,50
5232,30
12090,20
11207,60
8400,75
6900,30
7917,20
10728,60
39104,20
11764,60
9600,20
8314,20
7264,50
9196,20
19138,20
14450,20
10005,60
11287,60
7200,20
5063,120
9612,20
8012,120
4251,160
9786,50
8125,20
9819,20
8730,70
15611,60
5687,190
11409,50
16659,60
9600,20
7937,80
13710,50
7399,60
11700,60
14000,20
15750,190
16226,60
13704,20
9800,20
18386,75
10386,20
13474,60
7920,50
12342,30
12378,20
7685,60
8000,20
7800,190
215245,20
9600,70
7795,60
13005,60
9000,60
9900,60
14115,80
16259,60
12099,60
10380,60
5820,20
11275,80
5000,45
10846,120
11600,20
11888,75
6402,70
10624,90
8176,20
10655,20
8198,120
9042,60
164660,190
14157,20
9135,20
14145,20
12400,20
14191,60
8400,20
8544,90
8849,120
2592,160
6435,50
12772,20
17600,20
2448,160
20431,60
7820,120
5271,120
9084,50
8520,30
8400,50
11249,20
9248,20
4224,120
6930,80
12011,60
7540,85
9144,50
7301,85
1680,160
18800,60
10690,70
9500,20
9150,80
7800,20
9830,20
8121,60
17120,50
7175,120
10634,20
8200,60
10020,30
8846,85
11143,60
11394,20
8123,60
5000,50
7200,20
9245,60
9000,45
53107,60
3182,120
8410,50
7200,80
9382,20
12474,60
8405,50
12209,60
8339,20
7446,30
10134,50
9571,20
7200,20
7590,60
8967,30
8125,60
14963,120
8767,20
10200,30
12090,60
10364,60
9991,20
10480,50
15576,70
14154,60
10800,60
9571,20
34650,190
4403,20
